cmdindex  = 254
command  =  ditch
func  =  ditch@basis
minpos  = 5
cmdindex  = 304
command  =  donate
func  =  donate@basis
minpos  = 5
index  = 26
cmdindex  = 252
name  =  resize clothes
command  =  resize
minpos  = 8
func  =  resize@basis
race human  = 0
race elf  = 2
race dwarf  = -2
race halfling  = 0
race gnome  = 0
race half-orc  = -1
race half-ogre  = -2
race half-elf  = 1
race brownie  = 2
race groll  = -3
race darkelf  = 1
index  = 27
name  =  resize leather
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = -1
race half-elf  = 1
race brownie  = 1
race groll  = -3
race darkelf  = 1
index  = 28
name  =  resize metal
race human  = 0
race elf  = 0
race dwarf  = 3
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 1
race half-elf  = 1
race brownie  = -1
race groll  = -2
race darkelf  = 1
index  = 29
cmdindex  = 253
name  =  Evaluating
command  =  evaluate
func  =  evaluate@basis
minpos  = 8
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 1
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
index  = 25
cmdindex  = 229
name  =  hand cuffing
command  =  cuff
minpos  = 8
turns  = 6
func  =  cuff@basis
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 1
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
index  = 24
name  =  two weapon style
race human  = 0
race elf  = 1
race dwarf  = -1
race halfling  = 1
race gnome  = 0
race half-orc  = 0
race half-ogre  = 2
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 1
index  = 0
cmdindex  = 217
name  =  turn undead
command  =  turn
minpos  = 7
turns  = 12
race human  = 1
race elf  = 0
race dwarf  = 1
race halfling  = -1
race gnome  = -1
race half-orc  = -1
race half-ogre  = 0
race half-elf  = 0
race brownie  = 1
race groll  = 0
race darkelf  = 2
index  = 1
cmdindex  = 207
name  =  scroll use
command  =  recite
minpos  = 5
turns  = 24
race human  = 0
race elf  = 1
race dwarf  = -1
race halfling  = 0
race gnome  = 1
race half-orc  = -2
race half-ogre  = -3
race half-elf  = 1
race brownie  = 1
race groll  = -3
race darkelf  = 2
index  = 2
cmdindex  = 172
name  =  wand use
command  =  use
minpos  = 6
turns  = 6
race human  = 1
race elf  = 0
race dwarf  = -1
race halfling  = 1
race gnome  = 1
race half-orc  = -1
race half-ogre  = -2
race half-elf  = 0
race brownie  = 2
race groll  = -2
race darkelf  = 1
index  = 3
cmdindex  = 201
name  =  consider
command  =  consider
minpos  = 5
turns  = 6
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
index  = 4
cmdindex  = 218
name  =  diagnostics
command  =  diagnose
minpos  = 5
turns  = 6
func  =  diagnose@basis
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
index  = 5
cmdindex  = 219
name  =  appraisal
command  =  appraise
minpos  = 5
turns  = 6
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
index  = 6
cmdindex  = 220
name  =  ventriloquate
command  =  ventriloquate
minpos  = 5
race human  = 0
race elf  = 0
race dwarf  = -1
race halfling  = 1
race gnome  = 1
race half-orc  = 0
race half-ogre  = -1
race half-elf  = 0
race brownie  = 1
race groll  = 0
race darkelf  = 0
index  = 7
cmdindex  = 62
name  =  weather watching
command  =  weather
minpos  = 5
race human  = 1
race elf  = 2
race dwarf  = -2
race halfling  = 0
race gnome  = -1
race half-orc  = -1
race half-ogre  = 1
race half-elf  = 1
race brownie  = 1
race groll  = 0
race darkelf  = 1
index  = 8
cmdindex  = 151
name  =  fleeing
command  =  flee
minpos  = 7
turns  = 6
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 1
race half-ogre  = -1
race half-elf  = 0
race brownie  = 1
race groll  = 0
race darkelf  = 0
index  = 9
cmdindex  = 152
name  =  sneak
command  =  sneak
minpos  = 8
race human  = 0
race elf  = 2
race dwarf  = -1
race halfling  = 2
race gnome  = 0
race half-orc  = 0
race half-ogre  = -2
race half-elf  = 1
race brownie  = 1
race groll  = -1
race darkelf  = 0
index  = 10
cmdindex  = 154
name  =  backstab
command  =  backstab
minpos  = 8
turns  = 12
race human  = 0
race elf  = 1
race dwarf  = -1
race halfling  = 1
race gnome  = -1
race half-orc  = 2
race half-ogre  = -1
race half-elf  = 0
race brownie  = 1
race groll  = 0
race darkelf  = 0
index  = 11
cmdindex  = 153
name  =  hide
command  =  hide
minpos  = 5
race human  = 0
race elf  = 2
race dwarf  = 0
race halfling  = 2
race gnome  = 0
race half-orc  = 1
race half-ogre  = -2
race half-elf  = 1
race brownie  = 3
race groll  = -1
race darkelf  = 1
index  = 12
cmdindex  = 221
name  =  first aid
command  =  aid
minpos  = 5
turns  = 12
race human  = 1
race elf  = 0
race dwarf  = 0
race halfling  = -1
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = -1
race groll  = 0
race darkelf  = 0
index  = 13
cmdindex  = 155
name  =  pick lock
command  =  pick
minpos  = 8
race human  = 0
race elf  = -1
race dwarf  = 2
race halfling  = 1
race gnome  = 0
race half-orc  = 0
race half-ogre  = -2
race half-elf  = 0
race brownie  = 1
race groll  = -1
race darkelf  = 0
index  = 15
cmdindex  = 158
name  =  rescue
command  =  rescue
minpos  = 7
turns  = 12
race human  = 1
race elf  = -1
race dwarf  = 2
race halfling  = -2
race gnome  = -2
race half-orc  = 0
race half-ogre  = 2
race half-elf  = 0
race brownie  = -1
race groll  = 0
race darkelf  = 0
index  = 16
cmdindex  = 242
name  =  search
command  =  search
minpos  = 8
race human  = 0
race elf  = 2
race dwarf  = 2
race halfling  = 1
race gnome  = 0
race half-orc  = 0
race half-ogre  = -1
race half-elf  = 1
race brownie  = 2
race groll  = 0
race darkelf  = 1
index  = 17
name  =  leadership
race human  = 1
race elf  = 0
race dwarf  = 2
race halfling  = -1
race gnome  = -2
race half-orc  = -2
race half-ogre  = -3
race half-elf  = 0
race brownie  = 0
race groll  = -2
race darkelf  = 2
index  = 18
cmdindex  = 159
name  =  kick
command  =  kick
minpos  = 7
turns  = 6
func  =  kick@basis
race human  = 0
race elf  = -1
race dwarf  = -2
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = -1
race groll  = 1
race darkelf  = 0
index  = 19
name  =  swimming
race human  = 0
race elf  = 1
race dwarf  = -1
race halfling  = -1
race gnome  = -1
race half-orc  = -1
race half-ogre  = -2
race half-elf  = 0
race brownie  = -1
race groll  = -3
race darkelf  = 0
index  = 20
cmdindex  = 157
name  =  bash
command  =  bash
minpos  = 7
turns  = 6
race human  = 1
race elf  = 0
race dwarf  = 1
race halfling  = -2
race gnome  = -1
race half-orc  = 1
race half-ogre  = 2
race half-elf  = 0
race brownie  = -2
race groll  = 1
race darkelf  = 0
index  = 21
cmdindex  = 222
name  =  climb
command  =  climb
minpos  = 8
race human  = -1
race elf  = 1
race dwarf  = 0
race halfling  = 2
race gnome  = 0
race half-orc  = 0
race half-ogre  = -2
race half-elf  = 0
race brownie  = 1
race groll  = 0
race darkelf  = 0
index  = 23
cmdindex  = 228
name  =  tripping
command  =  trip
minpos  = 7
turns  = 6
func  =  trip@basis
race human  = -1
race elf  = 1
race dwarf  = 0
race halfling  = 2
race gnome  = 0
race half-orc  = 1
race half-ogre  = 0
race half-elf  = 0
race brownie  = 1
race groll  = 0
race darkelf  = 0
index  = 22
name  =  shield
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = -1
race darkelf  = 0
index  = 30
cmdindex  = 300
name  =  peeking
command  =  peek
minpos  = 8
func  =  peek@basis
race human  = 0
race elf  = 0
race dwarf  = -1
race halfling  = 2
race gnome  = 0
race half-orc  = 1
race half-ogre  = -1
race half-elf  = 0
race brownie  = 1
race groll  = -1
race darkelf  = 0
index  = 33
cmdindex  = 303
name  =  disarming
command  =  disarm
minpos  = 7
turns  = 12
func  =  disarm@basis
race human  = 0
race elf  = 0
race dwarf  = 1
race halfling  = -1
race gnome  = -1
race half-orc  = 2
race half-ogre  = 3
race half-elf  = 0
race brownie  = -2
race groll  = 1
race darkelf  = 0
index  = 32
cmdindex  = 301
name  =  filching
command  =  filch
minpos  = 8
func  =  filch@basis
race human  = 0
race elf  = 1
race dwarf  = 0
race halfling  = 3
race gnome  = 0
race half-orc  = 0
race half-ogre  = -2
race half-elf  = 0
race brownie  = 2
race groll  = -1
race darkelf  = 0
index  = 14
cmdindex  = 156
name  =  stealing
command  =  steal
minpos  = 8
func  =  steal@basis
race human  = 0
race elf  = 0
race dwarf  = -1
race halfling  = 2
race gnome  = 0
race half-orc  = 0
race half-ogre  = -2
race half-elf  = 0
race brownie  = 1
race groll  = -1
race darkelf  = 0
index  = 31
cmdindex  = 302
name  =  pick pockets
command  =  pickpocket
minpos  = 8
func  =  pickpocket@basis
race human  = 0
race elf  = 1
race dwarf  = -1
race halfling  = 3
race gnome  = 0
race half-orc  = 0
race half-ogre  = -2
race half-elf  = 0
race brownie  = 1
race groll  = -1
race darkelf  = 0
