index  = 0
name  =  theory
sphere  = 0
hands  = 1
type  = -1
speed  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
fumble  = 2
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50
index  = 1
name  =  category axe hammer
sphere  = 0
hands  = 1
type  = -1
speed  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
fumble  = 2
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50
index  = 2
name  =  category sword
sphere  = 0
hands  = 1
type  = -1
speed  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
fumble  = 2
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50
index  = 3
name  =  category club mace
sphere  = 0
hands  = 1
type  = -1
speed  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
fumble  = 2
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50
index  = 4
name  =  category polearm
sphere  = 0
hands  = 1
type  = -1
speed  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
fumble  = 2
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50
index  = 5
name  =  category natural
sphere  = 0
hands  = 1
type  = -1
speed  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
fumble  = 2
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50
index  = 6
name  =  category special
sphere  = 0
hands  = 1
type  = -1
speed  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = 0
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = 0
race groll  = 0
race darkelf  = 0
fumble  = 2
attack clothes  =  90  0 50
attack sleather  =  90  0 50
attack hleather  =  90  0 50
attack chain  =  90  0 50
attack plate  =  90  0 50
index  = 7
name  =  battle axe
sphere  = 1
hands  = 2
type  = 0
shield  = 0
speed  = 3
race human  = 0
race elf  = 0
race dwarf  = 2
race halfling  = -2
race gnome  = -2
race half-orc  = 1
race half-ogre  = 1
race half-elf  = 0
race brownie  = -3
race groll  = 0
race darkelf  = 0
fumble  = 5
attack clothes  =  70  9  5
attack sleather  =  60  6  6
attack hleather  =  60  6  6
attack chain  =  40  3  7
attack plate  =  20  1  8
index  = 8
name  =  hand axe
sphere  = 1
hands  = 1
type  = 0
shield  = 0
speed  = 1
race human  = 0
race elf  = 0
race dwarf  = 2
race halfling  = 0
race gnome  = -1
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = -1
race groll  = 0
race darkelf  = 0
fumble  = 4
attack clothes  =  50  4  8
attack sleather  =  40  3  9
attack hleather  =  30  3  9
attack chain  =  20  2 10
attack plate  =  10  1 11
index  = 9
name  =  war mattock
sphere  = 1
hands  = 2
type  = 1
shield  = 0
speed  = 3
race human  = 0
race elf  = 0
race dwarf  = 1
race halfling  = -2
race gnome  = -2
race half-orc  = 0
race half-ogre  = 1
race half-elf  = 0
race brownie  = -3
race groll  = 0
race darkelf  = 0
fumble  = 6
attack clothes  =  70  9  5
attack sleather  =  60  6  6
attack hleather  =  50  6  6
attack chain  =  40  3  7
attack plate  =  20  1  8
index  = 10
name  =  war hammer
sphere  = 1
hands  = 1
type  = 1
shield  = 0
speed  = 1
race human  = 0
race elf  = 0
race dwarf  = 1
race halfling  = 0
race gnome  = -1
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = -1
race groll  = 0
race darkelf  = 0
fumble  = 4
attack clothes  =  50  4  8
attack sleather  =  40  3  9
attack hleather  =  30  3  9
attack chain  =  20  2 10
attack plate  =  10  1 11
index  = 11
name  =  great sword
sphere  = 2
hands  = 2
type  = 0
shield  = 0
speed  = 3
race human  = 0
race elf  = 0
race dwarf  = -2
race halfling  = -2
race gnome  = -2
race half-orc  = 0
race half-ogre  = 2
race half-elf  = 0
race brownie  = -3
race groll  = 0
race darkelf  = 0
fumble  = 5
attack clothes  =  70  9  5
attack sleather  =  60  6  6
attack hleather  =  50  6  6
attack chain  =  40  3  7
attack plate  =  20  1  8
index  = 12
name  =  scimitar
sphere  = 2
hands  = 1
type  = 0
shield  = 0
speed  = 1
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = -1
race gnome  = -1
race half-orc  = 3
race half-ogre  = 0
race half-elf  = 0
race brownie  = -1
race groll  = 0
race darkelf  = 0
fumble  = 4
attack clothes  =  50  3  8
attack sleather  =  40  3  9
attack hleather  =  30  2  9
attack chain  =  20  1 10
attack plate  =  10  0 11
index  = 13
name  =  katana
sphere  = 2
hands  = 1
type  = 0
shield  = 0
speed  = 1
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 0
race gnome  = -1
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = -1
race groll  = 0
race darkelf  = 0
fumble  = 3
attack clothes  =  50  3  8
attack sleather  =  40  3  9
attack hleather  =  30  2  9
attack chain  =  20  1 10
attack plate  =  10  0 11
index  = 14
name  =  falchion
sphere  = 2
hands  = 1
type  = 0
shield  = 0
speed  = 1
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = -1
race gnome  = -1
race half-orc  = 2
race half-ogre  = 0
race half-elf  = 0
race brownie  = -1
race groll  = 0
race darkelf  = 0
fumble  = 5
attack clothes  =  50  4  8
attack sleather  =  40  3  9
attack hleather  =  30  3  9
attack chain  =  20  2 10
attack plate  =  10  1 11
index  = 15
name  =  kopesh
sphere  = 2
hands  = 1
type  = 0
shield  = 0
speed  = 1
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = -1
race gnome  = -1
race half-orc  = 1
race half-ogre  = 0
race half-elf  = 0
race brownie  = -1
race groll  = 0
race darkelf  = 0
fumble  = 5
attack clothes  =  50  4  9
attack sleather  =  40  3 10
attack hleather  =  30  3 10
attack chain  =  20  2 11
attack plate  =  10  1 12
index  = 16
name  =  broad sword
sphere  = 2
hands  = 1
type  = 0
shield  = 0
speed  = 1
race human  = 0
race elf  = 0
race dwarf  = -1
race halfling  = -2
race gnome  = -1
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = -1
race groll  = 0
race darkelf  = 0
fumble  = 3
attack clothes  =  50  4  8
attack sleather  =  40  3  9
attack hleather  =  30  3  9
attack chain  =  20  2 10
attack plate  =  10  1 11
index  = 17
name  =  long sword
sphere  = 2
hands  = 1
type  = 0
shield  = 0
speed  = 1
race human  = 0
race elf  = 0
race dwarf  = -1
race halfling  = -2
race gnome  = -1
race half-orc  = 0
race half-ogre  = 0
race half-elf  = 0
race brownie  = -2
race groll  = 0
race darkelf  = 1
fumble  = 4
attack clothes  =  50  4  8
attack sleather  =  40  3  9
attack hleather  =  30  3  9
attack chain  =  20  2 10
attack plate  =  10  1 11
index  = 18
name  =  rapier
sphere  = 2
hands  = 1
type  = 2
shield  = 0
speed  = 1
race human  = 0
race elf  = 0
race dwarf  = -1
race halfling  = -1
race gnome  = -1
race half-orc  = -1
race half-ogre  = -1
race half-elf  = 0
race brownie  = -1
race groll  = -1
race darkelf  = 0
fumble  = 4
attack clothes  =  50  3  9
attack sleather  =  40  3 10
attack hleather  =  30  2 10
attack chain  =  20  1 11
attack plate  =  10  0 12
index  = 19
name  =  short sword
sphere  = 2
hands  = 1
type  = 2
shield  = 0
speed  = 1
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 1
race gnome  = 0
race half-orc  = 0
race half-ogre  = -1
race half-elf  = 0
race brownie  = 1
race groll  = 0
race darkelf  = 0
fumble  = 2
attack clothes  =  50  3 10
attack sleather  =  40  3 11
attack hleather  =  30  2 11
attack chain  =  20  1 12
attack plate  =  10  0 13
index  = 20
name  =  dagger
sphere  = 2
hands  = 1
type  = 2
shield  = 0
speed  = 0
race human  = 0
race elf  = 0
race dwarf  = 0
race halfling  = 1
race gnome  = 1
race half-orc  = 0
race half-ogre  = -2
race half-elf  = 0
race brownie  = 2
race groll  = 0
race darkelf  = 0
fumble  = 1
attack clothes  =  50  2 11
attack sleather  =  40  2 12
attack hleather  =  30  1 12
attack chain  =  20  1 13
attack plate  =  10  0 14
index  = 21
name  =  battle mace
sphere  = 3
hands  = 2
type  = 1
shield  = 0
speed  = 3
race human  = 0
race elf  = 0
race dwarf  = 1
race halfling  = -2
race gnome  = -2
race half-orc  = 0
race half-ogre  = 2
race half-elf  = 0
race brownie  = -3
race groll  = 0
race darkelf  = 0
fumble  = 4
